"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Homework","Test1","Test2","Quiz","Lab","Overall","Grade"
"22",95,77.5,95,100,100,87,100,90,100,12,100,94.4444444444444,70,95,64,77.4,95.875,75.609756097561,83.7209302325581,96.4814814814815,100,89.286905999874,"A+"
"23",70,67.5,75,70,95,77,79,0,63.5,11,91.6666666666667,61.1111111111111,0,80,54.4,45,74.625,60.9756097560976,41.8604651162791,77.5925925925926,100,66.6866271191782,"C+"
"24",77.5,70,87.5,90,80,81,87,90,85,11,66.6666666666667,0,0,70,35.2,31.5,84.75,31.7073170731707,24.4186046511628,68.3333333333333,100,58.1211145774248,"C-"
"25",72.5,72.5,85,80,90,93,100,100,100,12,91.6666666666667,88.8888888888889,70,95,64.8,81,92.5714285714286,76.8292682926829,88.3720930232558,91.8518518518518,100,89.0080832635569,"A"
"26",80,80,85,60,92.5,71,48,64,95,12,33.3333333333333,22.2222222222222,40,25,39.2,42.75,78.4375,37.8048780487805,38.953488372093,32.7777777777778,100,55.747264369446,"F"
"27",97,100,100,100,100,98,100,0,96,12,75,38.8888888888889,0,100,67.2,77.4,98.875,80.4878048780488,83.7209302325581,71.2962962962963,100,87.3847379781937,"C"
"28",92.5,100,100,80,100,0,83,95,90,12,66.6666666666667,16.6666666666667,75,70,50.4,61.2,92.5625,54.8780487804878,62.7906976744186,70.5555555555556,100,75.0253675080355,"C"
"29",87.5,55,87.5,52.5,70,98,90,90,80,12,83.3333333333333,66.6666666666667,30,80,57.6,62.1,82.25,65.8536585365854,63.953488372093,76.6666666666667,100,75.3341038003403,"C"
"30",92.5,92.5,85,90,95,87,73,100,80,12,83.3333333333333,72.2222222222222,85,90,72,67.5,90.25,87.8048780487805,70.9302325581395,86.1111111111111,100,85.2852004159577,"B+"
"31",52.5,97.5,100,90,95,95,100,85,70,12,91.6666666666667,55.5555555555556,65,75,64.8,70.65,91.5625,76.8292682926829,75,77.2222222222222,100,83.1679369918699,"C"
"32",86.5,94,95,100,95,90,77,60,98,10,66.6666666666667,61.1111111111111,65,85,63.2,64.35,91.9375,74.390243902439,66.8604651162791,72.2222222222222,100,80.0077483928909,"C"
"33",88.5,85,100,100,100,99,100,100,94,12,100,88.8888888888889,90,100,79.2,67.05,97.6875,98.7804878048781,70.3488372093023,96.6666666666667,100,91.1495568633012,"A+"
"34",95,98,100,80,100,90,52,70,100,12,83.3333333333333,44.4444444444444,75,80,62.4,48.15,91.625,73.1707317073171,45.9302325581395,79.4444444444444,100,75.520871147665,"C+"
"35",85,77.5,92.5,55,65,64,26,62.5,85,12,33.3333333333333,50,30,60,29.6,24.75,73.3125,23.1707317073171,15.6976744186047,47.7777777777778,100,47.7189816127812,"F"
"36",87.5,100,100,70,95,100,78,90,80,12,66.6666666666667,44.4444444444444,40,90,62.4,35.1,91.3125,73.1707317073171,29.0697674418605,67.037037037037,100,69.3508937574841,"C-"
"37",76,72.5,50,0,61.25,71,51,50,80,12,58.3333333333333,55.5555555555556,50,20,44.8,63.45,63.96875,46.3414634146341,65.6976744186046,54.6296296296296,100,63.0777807320224,"D"
"38",81,97.5,100,75,95,87,82,90,95,12,100,100,75,55,67.2,75.6,90.9375,80.4878048780488,81.3953488372093,91.6666666666667,100,87.4776481849121,"A"
"39",92.5,100,92.5,90,100,95,85,90,80,12,87.5,66.6666666666667,65,100,66.4,63,93.125,79.2682926829269,65.1162790697674,84.7222222222222,100,82.7785616373606,"B"
"40",87.5,100,92.5,90,95,91,90,95,100,11,83.3333333333333,66.6666666666667,82.5,85,72,81,94.1875,87.8048780487805,88.3720930232558,83.6111111111111,100,90.4519155322367,"B"
"41",93.5,95,97.5,100,100,76,95,90,80,12,100,77.7777777777778,75,65,76.8,75.15,93.875,95.1219512195122,80.8139534883721,84.2592592592593,100,90.0292675048843,"B"
"42",75,82.5,100,100,90,88,84,87.5,100,12,91.6666666666667,88.8888888888889,70,90,76.8,76.5,91.5,95.1219512195122,82.5581395348837,90.1851851851852,100,90.6417029054011,"A"
"43",87.5,62.5,80,70,100,96,92,100,70,12,58.3333333333333,66.6666666666667,60,75,58.4,54.9,86.9375,67.0731707317073,54.6511627906977,67.2222222222222,100,73.2420081773492,"C-"
"44",90,90,72.5,90,100,97,100,95,100,12,83.3333333333333,61.1111111111111,65,65,55.2,41.4,95.25,62.1951219512195,37.2093023255814,71.1111111111111,100,70.9830166383059,"C"
"45",70,90,90,80,69.5,54,82,0,100,9,50,38.8888888888889,40,40,37.6,43.2,79.4375,35.3658536585366,39.5348837209302,43.3333333333333,100,57.2881416619399,"F"
"46",95,85,90,50,56,86,92,75,55,12,87.5,77.7777777777778,45,75,42.4,27,79.25,42.6829268292683,18.6046511627907,80.0925925925926,100,58.9766370454402,"B-"
"47",82.5,100,97.5,90,91.25,99,97,100,100,12,91.6666666666667,88.8888888888889,90,100,67.2,73.8,96.84375,80.4878048780488,79.0697674418605,93.8888888888889,100,89.0014611694082,"A"
